Overview,概览,概要,개요,Présentation,Überblick,Panoramica,Descripción general,Visão geral
"Certified in the cloud
",多云认证,認定済みクラウド,클라우드에서 인증,Certification dans le cloud,Zertifiziert in der Cloud,Certificato per il cloud,Certificado en la nube,Certificado na cloud
"
Run your enterprise workloads on a certified cloud and service provider with support from Red Hat.
",通过已认证的云和服务供应商来运行企业的工作负载，红帽提供全方位的支持。,エンタープライズ・ワークロードを認定済みのクラウドおよびサービスプロバイダーで処理。Red Hat のサポートも提供されます。,Red Hat의 지원을 통해 인증된 클라우드 및 서비스 제공업체에서 기업의 워크로드를 수행하세요.,"Exécutez vos charges de travail d'entreprise auprès d'un fournisseur de cloud et de services certifié, en profitant du service d'assistance de Red Hat.",Führen Sie Ihre Workloads bei einem zertifizierten Cloud- und Service-Anbieter aus – mit Support von Red Hat,Esegui i carichi di lavoro enterprise con un provider di servizi e cloud certificato avvalendoti del supporto di Red Hat.,Ejecute las cargas de trabajo empresariales con un proveedor certificado de servicios y nube y con el soporte de Red Hat.,Execute as cargas de trabalho da sua empresa com um provedor de serviços e cloud certificado e com suporte da Red Hat.
"Support for emerging technologies
",支持新兴技术,先進テクノロジーをサポート,이머징 기술을 위한 지원,Prise en charge des technologies émergentes,Support für neue Technologien,Supporto per le tecnologie emergenti,Compatible con las tecnologías emergentes,Suporte para tecnologias emergentes
"Choice leads to innovation, but tying together the right hardware architectures, microchip components, and container platforms to effectively deploy emerging technologies requires the right enterprise-grade Linux. Red Hat Enterprise Linux 8 is supported across architectures and environments, so you have a consistent and stable OS that adapts along the way to machine learning, predictive analytics, Internet of Things (IoT), edge computing, and big data workloads.",想要引领创新，配置合适的硬件架构、微芯片组件和容器平台，实现对新兴技术的有效部署需要采用合适的企业级 Linux。红帽企业 Linux 8 已获得跨架构和跨环境支持，为您提供一致且稳定的操作系统，可适应机器学习、预测分析、物联网（IoT），边缘计算和大数据工作负载。,豊富な選択肢がイノベーションにつながることは確かです。しかし、適切なハードウェア・アーキテクチャ、マイクロチップ・コンポーネント、コンテナ・プラットフォームを組み合わせて先進テクノロジーを効果的にデプロイするには、適切なエンタープライズグレードの Linux が必要です。Red Hat Enterprise Linux 8 はさまざまなアーキテクチャや環境に対応しており、機械学習、予測分析、IoT (モノのインターネット)、エッジコンピューティング、ビッグデータといったワークロードに適応できる、一貫性と安定性に優れた OS です。,"혁신을 실현하는 방법은 여러가지입니다. 하지만 알맞은 하드웨어 아키텍처, 마이크로칩 구성 요소, 컨테이너 플랫폼을 결합하여 이머징 기술을 효과적으로 배포하기 위해서는 적합한 엔터프라이즈급 Linux의 선택이 필수입니다. Red Hat Enterprise Linux 8은 아키텍처와 환경 전반에서 지원되므로, 기업은 일관성과 안정성을 갖춘 OS를 사용하여 머신 러닝, 예측 분석, 사물 인터넷(IoT), 엣지 컴퓨팅(edge computing) 및 빅데이터 워크로드로 원활한 확장을 수행할 수 있습니다.","La liberté de choix favorise l'innovation. Toutefois, pour associer les microcomposants, architectures matérielles et plateformes de conteneurs nécessaires au déploiement efficace des technologies émergentes, il faut recourir à une solution Linux d'entreprise adaptée. La solution Red Hat Enterprise Linux 8 est prise en charge dans divers environnements et architectures. Ainsi, votre système d'exploitation reste stable et cohérent, et s'adapte à de nombreuses charges de travail : apprentissage automatique, analyses prédictives, Internet des objets, datacenters délocalisés et Big Data.","Eine Palette von Möglichkeiten ist der Grundstein für Innovationen. Um jedoch die richtigen Hardware-Architekturen, Mikrochip-Komponenten und Container-Plattformen für einen effizienten Einsatz neuer Technologien kombinieren zu können, bedarf es eines geeigneten unternehmensfähigen Betriebssystems. Red Hat Enterprise Linux 8 wird in allen Architekturen und Umgebungen unterstützt, wodurch Sie ein einheitliches und stabiles System bekommen, das sich flexibel an neue Technologien wie maschinelles Lernen, Predictive Analytics, Internet of Things (IoT), Edge Computing und Big Data Workloads anpassen lässt.","Una scelta più ampia richiede innovazione, ma per assemblare le architetture hardware, i componenti dei microchip e le piattaforme per container più adeguate al fine di ottenere un deployment efficace delle tecnologie emergenti serve un sistema operativo Linux di livello enterprise. Red Hat Enterprise Linux 8 è supportato su diverse architetture e diversi ambienti e costituisce un sistema operativo coerente e stabile, adattabile alle tecnologie più innovative come apprendimento automatico, analisi predittiva, Internet of Things (IoT), edge computing e big data.","La libertad de elección conlleva a la innovación. Sin embargo, para combinar las arquitecturas de hardware, las plataformas de contenedores y los elementos de microchip adecuados y poder implementar las tecnologías emergentes con eficiencia, se necesita el sistema Linux de nivel empresarial apropiado. Red Hat Enterprise Linux 8 es compatible con diferentes entornos y arquitecturas, lo que le permite tener un sistema operativo estable y uniforme que se adapta a lo largo del proceso de aprendizaje automatico, análisis predictivo, Internet de las cosas (IoT), edge computing y big data.","O poder de escolha acelera a inovação. No entanto, escolher o Linux empresarial certo é crucial para combinar as arquiteturas de hardware, componentes de microchip e plataformas de container ideais para uma implantação eficaz de tecnologias emergentes. O Red Hat Enterprise Linux 8 é compatível entre arquiteturas e ambientes. Com ele, você conta com um sistema operacional estável e consistente que se adapta ao aprendizado de máquina, análise preditiva, Internet das Coisas (IoT), computação de borda (edge computing) e cargas de trabalho de big data."
Machine learning,机器学习,機械学習,머신 러닝,Apprentissage automatique,Maschinelles Lernen,Machine learning,Aprendizaje automático,Aprendizado de máquina
"
Red Hat Enterprise Linux 8 lowers the barrier to adoption of emerging technologies with support for hardware innovations like the GPUs, which can assist machine learning workloads. GPU support translates into more choice when developing and running both traditional and containerized apps.
",红帽企业 Linux 8 减少了采用新兴技术的障碍，支持 GPU 等硬件创新，可协助机器学习工作负载。在开发和运行传统和容器化应用时，GPU 支持向多选项过渡。,Red Hat Enterprise Linux 8 は、機械学習ワークロードの処理を助ける GPU など、ハードウェアのイノベーションにも対応。先進的テクノロジーを導入する際の障壁を乗り越えやすくなります。GPU のサポートにより、従来型アプリケーションとコンテナ化アプリケーションの両方について、開発および実行方法の選択肢が増えます。,Red Hat Enterprise Linux 8은 머신 러닝 워크로드를 실행할 수 있는 GPU와 같은 하드웨어 혁신을 지원하여 이머징 기술 도입의 장벽을 낮춥니다. 전통적인 애플리케이션과 애플리케이션 컨테이너를 모두 개발하여 실행하는 경우 GPU 지원을 통해 선택의 폭을 넓힐 수 있습니다.,Red Hat Enterprise Linux 8 élimine les obstacles qui empêchent l'adoption des technologies émergentes en prenant en charge les innovations matérielles telles que les processeurs graphiques qui peuvent assister les charges de travail de l'apprentissage automatique. La prise en charge du processeur graphique peut vous offrir davantage de choix pour le développement et l'exécution des applications traditionnelles et conteneurisées.,"Red Hat Enterprise Linux 8 baut Hindernisse für die Einführung neuer Technologien ab, und zwar mit dem Support von Hardware-Innovationen wie GPUs, mit denen sich Workloads des maschinellen Lernens unterstützen lassen. Diese GPU-Unterstützung sorgt für mehr Auswahl und Flexibilität bei der Entwicklung und Ausführung traditioneller und containerisierter Apps.","Red Hat Enterprise Linux 8 semplifica l'adozione di nuove tecnologie supportando innovazioni hardware come le GPU, che agevolano i processi di apprendimento automatico. Il supporto per GPU si traduce in un più ampio ventaglio di scelta per lo sviluppo e l'esecuzione di app tradizionali e containerizzate.","Red Hat Enterprise Linux 8 reduce los obstáculos para adoptar las tecnologías emergentes que admiten las innovaciones de hardware, como las unidades de procesamiento de gráficos (GPU), que pueden utilizarse para las cargas de trabajo de aprendizaje automático. La compatibilidad con las GPU se traduce en más opciones al desarrollar y ejecutar las aplicaciones tradicionales y también en contenedores.","O Red Hat Enterprise Linux 8 facilita a adoção de tecnologias emergentes com suporte para inovações de hardware, como as GPUs, o que pode auxiliar as cargas de trabalho de aprendizado de máquina. O suporte para GPU oferece mais opções ao desenvolver e executar aplicações tradicionais ou em containers."
NVIDIA DGX-1 and DGX-2,NVIDIA DGX-1 和 DGX-2,NVIDIA DGX-1 と DGX-2,NVIDIA DGX-1 및 DGX-2,NVIDIA DGX-1 et DGX-2,NVIDIA DGX-1 und DGX-2,NVIDIA DGX-1 e DGX-2,NVIDIA DGX-1 y DGX-2,NVIDIA DGX-1 e DGX-2
"
NVIDIA’s DGX-1 and DGX-2 servers, designed to deliver powerful solutions for complex AI challenges, are certified for Red Hat Enterprise Linux. 

DGX systems have advanced GPU-based workload acceleration capabilities. Red Hat Enterprise Linux is optimized to perform on these systems by providing customized tuned profiles. 
",NVIDIA 的 DGX-1 和 DGX-2 服务器针对复杂 AI 挑战提供强大解决方案而设计，已经过红帽企业 Linux 认证。   DGX 系统具备先进的基于GPU 工作负载加速功能。红帽企业 Linux 通过提供定制的调优配置文件进行优化，可在这些系统上运行。,"NVIDIA の DGX-1 サーバーと DGX-2 サーバーは、AI 関連の複雑な課題に対する強力なソリューションとして開発され、Red Hat Enterprise Linux への対応も認定済みです。 

DGX システムは高度な GPU ベースのワークロード・アクセラレーション機能を備えていますが、Red Hat Enterprise Linux にはこれらのシステム用にカスタムチューンされたプロファイルが提供されており、最適化されたパフォーマンスを発揮します。",복잡한 AI 과제를 지원하는 강력한 솔루션을 구현하기 위해 설계된 NVIDIA DGX-1 및 DGX-2 서버는 Red Hat Enterprise Linux용으로 인증되었습니다.   DGX 시스템은 고급 GPU 기반의 워크로드 가속화 기능을 갖추고 있습니다. Red Hat Enterprise Linux는 맞춤화된 튜닝 프로파일을 제공하여 해당 시스템에서 성능을 발휘하도록 최적화되었습니다.,"Les serveurs NVIDIA DGX-1 et DGX-2, conçus pour offrir des solutions puissantes aux problèmes complexes de l'intelligence artificielle, sont certifiés pour Red Hat Enterprise Linux.   Les systèmes DGX disposent de capacités d'accélération des charges de travail basées sur le processeur graphique. Red Hat Enterprise Linux est optimisé pour ces systèmes grâce à des profils personnalisés.","Die DGX-1 und DGX-2 Server von NVIDIA, mit denen leistungsstarke Lösungen für komplexe KI-Projekte bereitgestellt werden, sind für Red Hat Enterprise Linux zertifiziert.   DGX-Systeme verfügen über fortschrittliche Funktionen zur Beschleunigung von GPU-Workloads. Red Hat Enterprise Linux bietet benutzerdefinierte Tuned Profiles und damit eine optimale Leistungsfähigkeit auf diesen Systemen.","I server NVIDIA DGX-1 e DGX-2, progettati per le soluzioni più efficienti in grado di gestire le esigenze di elaborazione dell'intelligenza artificiale (IA), sono certificati per Red Hat Enterprise Linux.   I sistemi DGX sono dotati di capacità avanzate per carichi di lavoro accelerati da GPU. Red Hat Enterprise Linux è progettato per l'esecuzione su tali sistemi grazie a profili di ottimizzazione personalizzati.","Los servidores de NVIDIA DGX-1 y DGX-2, diseñados para brindar soluciones potentes para los desafíos complejos de inteligencia artificial (IA), están certificados para Red Hat Enterprise Linux.   Los sistemas DGX cuentan con capacidades avanzadas para acelerar las cargas de trabajo basadas en GPU. Red Hat Enterprise Linux ha sido optimizado para funcionar en estos sistemas brindando perfiles ajustados personalizados.","Os servidores DGX-1 e DGX-2 da NVIDIA, criados para fornecer soluções avançadas para os desafios complexos de inteligência artificial, são certificados para o Red Hat Enterprise Linux.   Os sistemas DGX têm recursos avançados de aceleração de carga de trabalho baseados em GPU. O Red Hat Enterprise Linux é otimizado para execução nesses sistemas por meio de perfis com ajustes personalizados."
Containers for AI,适用 AI 的容器,AI 向けのコンテナ,AI를 위한 컨테이너,Conteneurs pour l'intelligence artificielle,Container für KI,Container per IA,Contenedores para IA,Containers para inteligência artificial
"
Red Hat Enterprise Linux 8 is supported to deploy and manage GPU-accelerated NGC containers on Red Hat OpenShift. These AI containers deliver integrated software stacks and drivers to run GPU-optimized machine learning frameworks such as TensorFlow, Caffe2, PyTorch, MXNet, and others.
",红帽企业 Linux 8 已获得相应支持，可在红帽 OpenShift 上部署和管理 GPU 加速的 NGC 容器。这些 AI 容器提供集成软件堆栈和驱动程序，以运行 GPU 优化的机器学习框架，如 TensorFlow、Caffe2、PyTorch、MXNet 等。,Red Hat Enterprise Linux 8 は、GPU で高速化された NGC コンテナの Red Hat OpenShift へのデプロイと管理に対応しています。これらの AI コンテナは、TensorFlow、Caffe2、PyTorch、MXNet など、GPU に最適化された機械学習フレームワークを実行するための統合ソフトウェアスタックおよびドライバーを提供します。,"Red Hat Enterprise Linux 8을 사용하여 Red Hat OpenShift에서 GPU 가속 성능을 갖춘 NGC 컨테이너를 배포하고 관리할 수 있습니다. 이러한 AI 컨테이너는 TensorFlow, Caffe2, PyTorch, MXNet 등 GPU로 최적화된 머신 러닝 프레임워크를 실행하도록 통합 소프트웨어 스택과 드라이버를 제공합니다.","Le système d'exploitation Red Hat Enterprise Linux 8 est pris en charge pour le déploiement et la gestion des conteneurs NGC accélérés grâce au processeur graphique sur Red Hat OpenShift. Ces conteneurs pour l'intelligence artificielle fournissent des piles logicielles et des pilotes pour l'exécution de structures d'apprentissage automatique optimisées par un processeur graphique, telles que TensorFlow, Caffe2, PyTorch, MXNet, etc.","Red Hat Enterprise Linux 8 unterstützt die Bereitstellung und Verwaltung von mit GPUs beschleunigten NCG-Containern auf Red Hat OpenShift. Diese KI-Container stellen integrierte Software-Stacks und -Treiber zur Ausführung GPU-optimierter Frameworks des maschinellen Lernens bereit, darunter TensorFlow, Caffe2, PyTorch, MXNet und andere.","Red Hat Enterprise Linux 8 supporta la distribuzione e la gestione di container NGC accelerati da GPU su Red Hat OpenShift. I container per IA offrono stack software e driver integrati con i quali eseguire framework di apprendimento automatico ottimizzati per GPU come TensorFlow, Caffe2, PyTorch, MXNet.","Red Hat Enterprise Linux 8 permite implementar y gestionar contenedores de NVIDIA GPU Cloud (NGC) acelerados por GPU en Red Hat OpenShift. Estos contenedores de IA ofrecen pilas y controladores de software integrados para ejecutar marcos de aprendizaje automático optimizados por GPU, como TensorFlow, Caffe2, PyTorch, MXNet, entre otros.","O Red Hat Enterprise Linux 8 oferece suporte a implantação e gerenciamento de containers NGC acelerados com GPU no Red Hat OpenShift. Esses containers de inteligência artificial contam com stacks de software e drivers integrados para executar frameworks de aprendizado de máquina otimizadas para GPU, como TensorFlow, Caffe2, PyTorch, MXNet e outras."
"Container tools that give you choice
",容器工具让您有更多的选择,豊富な選択肢を提供するコンテナツール,선택의 폭을 제공하는 컨테이너 툴,Plus de choix grâce aux outils de conteneurisation,Container-Tools mit vielen Möglichkeiten,Strumenti per container e libertà di scelta,Herramientas de contenedores que le brindan alternativas,Ferramentas de container que garantem seu poder de escolha
"Red Hat Enterprise Linux 8 offers container tools that allow you to tailor your systems to find, run, build, and share containers with other Open Container Initiative (OCI) standards-compatible tools. With this increased choice and support for containerized applications, you can implement business solutions when and how you want. ",红帽企业 Linux 8 提供容器工具，支持您定制系统，以便通过其他开放容器计划（OCI）标准兼容工具来查找、运行、构建和共享容器。凭借容器化应用带来的更多选择与支持，您可以随时按需实施业务解决方案。,Red Hat Enterprise Linux 8 のコンテナツールを使うと、コンテナの検出、実行、ビルド、およびその他の Open Container Initiative (OCI) 標準準拠のツールとの共有ができるようにシステムをカスタマイズできます。コンテナ化アプリケーションに関する選択肢が増え、サポートが強化されるので、いつでも好きな方法でビジネスソリューションを実装できます。,"Red Hat Enterprise Linux 8은 오픈 컨테이너 이니셔티브(Open Container Initiative, OCI) 표준과 호환되는 다양한 툴로 컨테이너를 검색, 실행, 구축 및 공유하도록 시스템을 맞춤 설정할 수 있는 컨테이너 툴을 제공합니다. 이처럼 선택의 유연성을 확보하고 애플리케이션 컨테이너 지원을 확대하여 원하는 때에 원하는 방식으로 비즈니스 솔루션을 구현할 수 있습니다.","Le système d'exploitation Red Hat Enterprise Linux 8 fournit des outils de conteneurisation qui vous permettent de personnaliser votre système pour trouver, exécuter, créer et partager des conteneurs avec d'autres outils compatibles avec les normes de l'OCI (Open Container Initiative). Grâce au nombre croissant d'options et à l'étendue de la prise en charge pour les applications conteneurisées, vous pouvez mettre en œuvre des solutions d'entreprise quand et comme vous le voulez.","Red Hat Enterprise Linux 8 bietet Container-Tools, mit denen Sie Ihr System so anpassen können, dass Sie damit Container suchen, ausführen, entwickeln und gemeinsam mit anderen Tools verwenden können, die mit OCI-Standards (Open Container Initiative) kompatibel sind. Dank dieser größeren Auswahl sowie zusätzlichem Support für containerisierte Anwendungen können Sie geschäftliche Lösungen jederzeit und überall implementieren.","Gli strumenti per container integrati in Red Hat Enterprise Linux 8 consentono di creare sistemi idonei a individuare, eseguire, compilare e condividere container con altri strumenti compatibili con gli standard Open Container Initiative (OCI), offrendo una più vasta opportunità di scelta e supporto per creare applicazioni containerizzate con le quali implementare le soluzioni aziendali quando e come necessario.","Red Hat Enterprise Linux 8 ofrece las herramientas de contenedores que le permiten personalizar los sistemas para buscar, ejecutar, diseñar y compartir contenedores con otras herramientas compatibles con los estándares de la Open Container Initiative (OCI). Con esta mayor variedad de opciones y compatibilidad en cuanto a las aplicaciones en contenedores, usted puede implementar soluciones empresariales cuando y como lo desee.","As ferramentas de container do Red Hat Enterprise Linux 8 permitem que você personalize seus sistemas para localizar, executar e compartilhar containers com ferramentas compatíveis com os padrões da Open Container Initiative (OCI). Com mais opções de escolha e suporte ampliado para aplicações em containers, você pode implementar soluções empresariais quando e como quiser."
Join the developer community,加入开发人员社区,開発者コミュニティに参加する,개발자 커뮤니티 참여하기,Rejoindre la communauté des développeurs,Werden Sie Mitglied der Entwickler-Community,Entra a far parte della community di sviluppatori,Intégrese a la comunidad de desarrolladores,Junte-se à comunidade de desenvolvedores
Podman,Podman,Podman,Podman,Podman,Podman,Podman,Podman,Podman
"
Use Podman for running containers.

Podman is a daemon-less command-line tool that lets you directly create and manage container images. By letting you work with containers without the need for a runtime environment, you can more tightly control the permissions granted to software components. 
",使用 Podman 来运行容器。  Podman 是一个无守护进程的命令行工具，支持您直接创建和管理容器镜像。通过在不需要运行时环境的情况下使用容器，您可以实现对软件组件授权的更严格控制。,"Podman はコンテナの実行に使用します。

Podman はデーモン不要のコマンドラインツールで、コンテナイメージを直接作成および管理できます。ランタイム環境がなくてもコンテナを操作できるため、ソフトウェア・コンポーネントに付与された権限をより細かく制御できます。","Podman을 사용하여 컨테이너 실행  Podman은 데몬이 없는(daemon-less) 명령줄 툴로서, 사용자가 직접 컨테이너 이미지를 생성하고 관리할 수 있도록 합니다. 런타임 환경 없이 컨테이너로 작업할 수 있으므로 소프트웨어 구성 요소에 부여한 권한을 보다 엄격하게 관리할 수 있습니다.","Utilisez Podman pour l'exécution des conteneurs.  Podman est un outil en ligne de commande sans démon qui vous permet de créer et gérer directement des images de conteneurs. En travaillant avec des conteneurs sans environnement d'exécution, vous pouvez assurer une surveillance plus étroite des autorisations accordées aux composants logiciels.","Nutzen Sie Podman zur Ausführung von Containern.  Podman ist ein Befehlszeilen-Tool ohne Daemon, mit dem Sie Container-Images direkt erstellen und verwalten können. Und weil Sie hier zum Arbeiten mit Containern keine Laufzeitumgebung benötigen, können Sie die Berechtigungen für Softwarekomponenten besser kontrollieren.",Usa Podman per eseguire i container.  Podman è uno strumento a riga di comando daemon-less per creare e gestire direttamente immagini dei container. Non richiede un ambiente di runtime e consente quindi un controllo più rigido delle autorizzazioni concesse ai componenti software.,"Utilice Podman para ejecutar contenedores.  Podman es una herramienta de línea de comandos sin daemon que le permite crear y gestionar imágenes en contenedores de forma directa. Al poder trabajar con contenedores sin la necesidad de un entorno de tiempo de ejecución, puede ejercer un control más estricto sobre los permisos otorgados a los elementos de software.","Use o Podman para executar containers.  Podman é uma ferramenta de linha de comando sem daemon que permite criar e gerenciar imagens de container diretamente. Ao permitir o trabalho com containers sem precisar de um ambiente de execução, você pode controlar melhor as permissões concedidas aos componentes de software."
Buildah,Buildah,Buildah,Buildah,Buildah,Buildah,Buildah,Buildah,Buildah
